keyword,weight
war,5
invasion,5
nuclear,5
pandemic,5
emergency,5
cyberattack,4
explosion,4
outbreak,4
recession,4
indictment,4
resignation,4
bankruptcy,4
famine,4
flooding,4
terrorism,4
imminent,4
inequality,4
climate change,4
crash,4
humanitarian,4
world,3
crisis,3
sanction,3
ceasefire,3
layoff,3
breach,3
scandal,3
fatal,3
heatwave,3
wildfire,3
hurricane,3
earthquake,3
collapse,3
dangerous,3
leak,3
charged,3
inflation,3
missile,3
protest,3
subpoena,3
legislation,3
executive order,3
unemployment,3
drought,3
privacy,3
historic,3
tariffs,3
first,3
weather,3
approved,2
dead,2
ransomware,2
profit,2
launch,2
clinical trial,2
vaccine,2
study,2
IPO,2
report,2
greenhouse gases,2
pollution,2
mutation,2
demo,2
cuts,2
hike,2
stock drop,2
restructuring,2
tech failure,2
displacement,2
tensions,2
findings,2
